source_id,radius_gspphot,radius_gspphot_lower,radius_gspphot_upper,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,fem_gspspec,fem_gspspec_lower,fem_gspspec_upper,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,ecl_lon,ecl_lat
4247023886053586304,0.782,0.7799,0.7859,4487.138,4480.0347,4491.0835,4.5541,4.5486,4.5568,-0.07,-0.09,-0.05,300.6956213279026,3.326715753341339,7.0766416,7.6813974,6.3358107,12.7116,12.707,12.7178,303.68672345934147,23.247862275123072
5535361753834861312,0.2004,0.2002,0.2006,2960.3953,2960.1418,2960.5903,5.0687,5.0682,5.069,,,,115.04626042327716,-42.958948811779244,12.030774,14.073357,10.699945,7.9706,7.968,7.976,132.57413115208047,-62.74487349179366
5497072086021346688,0.6304,0.622,0.6325,3514.5605,3510.6248,3535.198,4.1882,4.1654,4.2599,,,,99.90376164161879,-55.609626188428145,9.068258,10.046057,8.090618,13.1637,13.1578,13.1749,118.05973634319406,-78.08128487637163
4519789081415296128,0.384,0.3596,0.3967,3279.9556,3231.0833,3374.7168,4.4163,4.2612,4.757,,,,286.8027296402767,20.875538401484672,9.805328,11.005343,8.718459,8.8372,8.8089,8.8672,291.69487884239226,43.05752930179873
4519789321942643072,0.3957,0.385,0.3968,3227.885,3223.4243,3253.3337,4.2259,4.2118,4.3435,,,,286.7709107522999,20.88648751787881,9.814883,11.012309,8.729002,8.8324,8.7828,8.85,291.6570491120658,43.073017084391
4741883764414703232,0.5587,0.5479,0.5597,3298.9294,3296.2646,3331.836,4.1187,4.111,4.225,,,,42.539712986926446,-53.13673320472705,9.801348,10.956002,8.730087,13.2155,13.205,13.2699,6.949807929205009,-63.55818544444885
6232511606838403968,0.782,0.7809,0.7837,4503.0303,4499.257,4504.588,4.5357,4.5323,4.5372,-0.06,-0.09,-0.04,224.37159427348143,-21.423140396261676,5.3640366,5.9606276,4.637024,5.887,5.8827,5.891,228.1356194756076,-4.368045013610109
672091364541849344,0.3621,0.3617,0.3625,3547.2454,3546.7761,3547.8687,4.8949,4.892,4.8955,,,,117.07514854485704,20.363715703599137,10.552906,11.670434,9.500179,14.65,14.6394,14.6664,115.26133002470593,-0.7325502282477345
1010729194865571456,0.2555,0.2533,0.26,3001.3564,3000.3252,3006.4438,4.6999,4.6816,4.7122,,,,135.1322606052177,46.5840885943522,11.792696,13.608401,10.506265,10.0586,9.9734,10.2685,123.57708054322988,28.266712686007086
1014058103758571520,1.8435,1.8315,1.8572,7498.3286,7493.946,7502.5083,3.9261,3.9199,3.9317,,,,134.7989643318015,48.040871471105525,3.120973,3.4182682,2.91068,14.7754,14.6842,14.8803,122.79805115215336,29.573750902505633
3143635723866162432,0.1986,0.1984,0.1993,3036.8499,3036.3179,3037.1616,5.0785,5.0772,5.0789,,,,117.96608429205932,5.5473917843088385,13.14167,15.058582,11.843256,14.7786,14.7707,14.8109,118.9149244746686,-15.128761510960814
3144499458967932672,0.2399,0.2398,0.2402,3107.8413,3107.6775,3108.0117,5.0215,5.0212,5.0217,,,,119.53643234079509,7.283595270088088,12.287489,14.020569,11.021154,13.0746,13.069,13.0817,120.13925410695892,-13.118821177146474
1332966881549315456,0.2012,0.2006,0.2019,2915.1675,2911.3706,2916.1438,5.0604,5.0309,5.0622,,,,247.8274448005916,40.86572384148289,12.927332,15.092967,11.573926,11.2353,11.2147,11.267,233.2549427948349,61.50634650784775
1333760419707327744,1.2106,1.2074,1.2122,5630.0605,5628.8184,5631.532,4.284,4.283,4.2856,-0.1,-0.13,-0.08,260.16557980211155,32.46311742250856,5.2098746,5.5371356,4.716525,14.572,14.5349,14.587,255.29768317395616,55.40158218363711
102162639019033600,0.2588,0.2558,0.2617,3089.2524,3064.308,3101.007,4.8588,4.6585,4.9427,,,,38.40513666109431,24.92413187711575,11.529306,13.241863,10.273463,9.973,9.8961,10.0642,43.92621705387247,9.35498684822756
96331172942614528,0.8698,0.8681,0.8721,5092.744,5091.184,5094.2344,4.4769,4.4753,4.4782,-0.07,-0.09,-0.05,25.62258568627586,20.26551918225611,4.99968,5.439818,4.4173326,7.6485,7.6358,7.6675,31.086491749785456,8.999291930907733
4568060562432051584,0.4565,0.456,0.4581,3224.72,3224.5144,3224.9536,4.0725,4.0701,4.0734,,,,256.77899349986836,21.553906093733755,10.5571375,11.891309,9.413489,14.1021,14.0882,14.1497,252.73864266670572,44.20414245628389
5895265380327966464,0.55,0.522,0.554,3396.8691,3380.9346,3480.298,4.0105,3.9779,4.2585,,,,213.30650650722762,-56.741262094420925,9.343476,10.448863,8.298997,11.6816,11.6276,11.7897,233.03086675794466,-40.346705088315396
2379962604166006016,0.4866,0.4862,0.488,3302.5571,3302.2,3302.9795,4.0174,4.0164,4.0182,,,,347.56913828705433,-25.93119473911205,10.325614,11.514855,9.245406,14.9106,14.8984,14.9499,338.1837502003299,-18.917238102422356
1965478468902062464,0.1706,0.1704,0.1712,2887.7754,2887.2603,2888.275,5.1207,5.1189,5.1211,,,,321.13780325406816,40.06853292389345,13.897119,16.177614,12.525053,14.5327,14.5208,14.5647,342.7964695138995,51.40615341580748
1637110042813188608,0.7599,0.7578,0.7618,5285.103,5281.292,5288.461,4.6087,4.6031,4.6156,-0.05,-0.09,-0.02,261.24428143354027,67.30672951368193,6.2235785,6.615514,5.6600223,12.7743,12.7632,12.7875,163.72516945901717,86.49255065071812
1637645127018395776,0.4894,0.4891,0.4897,3192.2751,3191.916,3193.1094,4.0126,4.0121,4.0149,,,,264.1040525731971,68.3334976375916,8.02864,9.385179,6.8670616,4.549,4.5481,4.5517,139.20732669515198,87.12860887821988
1642641410934267008,0.7476,0.7374,0.7561,3731.1538,3714.9255,3770.1804,4.4196,4.3715,4.4625,-0.03,-0.06,0.01,244.17238993246437,67.2392157683359,7.9017744,8.79992,6.967186,10.768,10.7478,10.7932,164.3248371342373,79.91769423465054
1642642957122493824,0.4964,0.4962,0.4966,3382.3882,3381.6287,3382.6816,4.6745,4.6708,4.675,,,,244.1832577377468,67.25664062629953,9.618664,10.953529,8.470872,10.7507,10.7485,10.7534,164.22964167534107,79.92430814435399
425040000962559616,1.1377,1.1332,1.1402,5726.01,5722.719,5730.129,4.308,4.3063,4.3109,,,,12.285227381524425,57.81272812559009,3.3200667,3.7355075,2.8486214,5.9149,5.897,5.9234,40.25049772460425,47.00303051204843
